Rank,Country (or dependent territory),Population,% of world,population,Date,Source
47, Ghana,30280811,0.39%,01-Jul-19,National projection[45],
48, Mozambique,30066648,0.39%,2020,National projection[46],
49, Nepal,29996478,0.39%,01-Jul-20,National annual projection[47],
50, Yemen,29825968,0.38%,01-Jul-20,UN projection[2],
51, Cameroon,26545864,0.34%,01-Jul-20,UN projection[2],
52, Madagascar,26251309,0.34%,2020,Official Projection[48],
53, Ivory Coast,25823071,0.33%,01-Jul-19,National projection[49],
54, Australia,25691052,0.33%,27-Apr-20,National population clock[50],
55, North Korea,25450000,0.33%,01-Jul-19,National annual projection[51],
?, Taiwan,23604265,0.30%,31-Jan-20,Monthly national estimate[52],
56, Niger,22314743,0.29%,01-Jul-19,National annual projection[53],
57, Sri Lanka,21803000,0.28%,01-Jul-19,National estimate[54],
58, Burkina Faso,20870060,0.27%,01-Jul-19,National annual projection[55],
59, Mali,20250833,0.26%,01-Jul-20,UN Projection[56],
60, Romania,19405156,0.25%,01-Jan-19,National annual estimate[57],
61, Malawi,19129952,0.25%,01-Jul-20,UN projection[58],
62, Chile,19107216,0.25%,01-Jul-19,National annual projection[59],
63, Kazakhstan,18689872,0.24%,27-Apr-20,National population clock[60],
64, Zambia,17885422,0.23%,01-Jul-20,National annual projection[61],
65, Syria,17500657,0.23%,01-Jul-20,UN projection[2],
66, Ecuador,17473624,0.23%,27-Apr-20,National population clock[62],
67, Netherlands,17459781,0.22%,27-Apr-20,National population clock[63],
68, Guatemala,16604026,0.21%,01-Jul-19,National annual projection[64],
69, Chad,16244513,0.21%,2020,National annual projection[65],
70, Senegal,16209125,0.21%,01-Jul-19,National annual projection[66],
71, Somalia,15893219,0.20%,01-Jul-20,UN projection[2],
72, Cambodia,15288489,0.20%,03-Mar-19,Provisional 2019 census result[67],
73, Zimbabwe,15159624,0.20%,01-Jul-19,National annual projection[68],
74, South Sudan,12778250,0.16%,01-Jul-19,National annual projection[69],
75, Rwanda,12374397,0.16%,01-Jul-19,National projection annual[70],
76, Guinea,12218357,0.16%,01-Jul-19,National projection[71],
77, Benin,11733059,0.15%,01-Jul-19,National projection annual[72],
78, Tunisia,11722038,0.15%,01-Jul-19,National estimate[73],
79, Haiti,11577779,0.15%,01-Jul-19,National annual projection[74],
80, Belgium,11524454,0.15%,01-Jan-20,Monthly national estimate[75],
81, Bolivia,11469896,0.15%,01-Jul-19,National projection annual[76],
82, Cuba,11209628,0.14%,31-Dec-18,National annual estimate[77],
83, Burundi,10953317,0.14%,01-Jul-19,National annual projection[78],
84, Greece,10724599,0.14%,01-Jan-19,National estimate[79],
85, Czech Republic,10693939,0.14%,31-Dec-19,National quarterly estimate[80],
86, Jordan,10667496,0.14%,27-Apr-20,National population clock[81],
87, Dominican Republic,10358320,0.13%,01-Jul-19,National projection[82],
88, Sweden,10338368,0.13%,29-Feb-20,National monthly estimate[83],
89, Portugal,10276617,0.13%,31-Dec-18,National annual estimate[84],
90, Azerbaijan,10067108,0.13%,01-Jan-20,National estimate[85],
91, United Arab Emirates,9890400,0.13%,01-Jul-20,UN projection[2],
92, Hungary,9772756,0.13%,01-Jan-19,National estimate[86],
93, Belarus,9408400,0.12%,01-Jan-20,National annual estimate[87],
94, Israel,9191250,0.12%,27-Apr-20,National population clock[88],
95, Honduras,9158345,0.12%,01-Jul-19,National annual projection[89],
96, Tajikistan,9127000,0.12%,01-Jan-19,National estimate[90],
97, Papua New Guinea,8935000,0.12%,2020,National annual projection[91],
98, Austria,8902600,0.11%,01-Jan-20,Quarterly provisional figure[92],
99, Switzerland,8603899,0.11%,31-Dec-19,National provisional figure[93],
100, Sierra Leone,7901454,0.10%,01-Jul-19,National annual projection[94],
101, Togo,7538000,0.10%,01-Jul-19,National annual projection[95],
?, Hong Kong (China),7500700,0.10%,31-Dec-19,National estimate[96],
102, Paraguay,7252672,0.09%,01-Jul-20,National annual projection[97],
103, Laos,7123205,0.09%,01-Jul-19,National annual projection[98],
104, Serbia,6963764,0.09%,01-Jan-19,National annual estimate[99],
105, Bulgaria,6951482,0.09%,31-Dec-19,National estimate[100],
106, Libya,6871287,0.09%,01-Jul-20,UN projection[2],
107, Lebanon,6825442,0.09%,01-Jul-20,UN projection[2],
108, Kyrgyzstan,6533500,0.08%,01-Feb-20,National estimate[101],
109, El Salvador,6486201,0.08%,01-Jul-20,UN projection[2],
110, Nicaragua,6460411,0.08%,30-Jun-18,National estimate[102],
111, Turkmenistan,6031187,0.08%,01-Jul-20,UN projection[2],
112, Denmark,5822763,0.07%,01-Jan-20,National quarterly estimate[103],
113, Singapore,5703600,0.07%,30-Jun-19,National estimate[104],
114, Congo,5518092,0.07%,01-Jul-20,UN projection[2],
115, Finland,5528390,0.07%,31-Mar-20,National monthly estimate[105],
116, Central African Republic,5496011,0.07%,01-Jul-19,National annual projection[106],
117, Slovakia,5457873,0.07%,31-Dec-19,National estimate[107],
118, Norway,5367580,0.07%,01-Jan-20,National quarterly estimate[108],
119, Costa Rica,5058007,0.07%,30-Jun-19,National annual projection[109],
120, New Zealand,4981311,0.06%,27-Apr-20,National population clock[110],
121, Palestine,4976684,0.06%,01-Jul-19,National annual projection[111],
122, Ireland,4921500,0.06%,01-Apr-19,National estimate[112],
123, Oman,4664790,0.06%,01-Jan-20,National estimate[113],
124, Liberia,4475353,0.06%,01-Jul-19,National projection[114],
125, Kuwait,4420110,0.06%,01-Jan-19,National annual estimate[115],
126, Panama,4218808,0.05%,01-Jul-19,National annual projection[116],
127, Mauritania,4077347,0.05%,01-Jul-19,National annual projection[117],
128, Croatia,4076246,0.05%,31-Dec-18,National annual estimate[118],
129, Georgia,3723464,0.05%,01-Jan-19,National annual estimate[119],
130, Uruguay,3518552,0.05%,30-Jun-19,National annual projection[120],
131, Eritrea,3497117,0.04%,01-Jul-19,UN projection[2],
132, Mongolia,3314688,0.04%,27-Apr-20,National population clock[121],
133, Bosnia and Herzegovina,3301000,0.04%,01-Jul-19,UN projection[2],
?, Puerto Rico (US),3193694,0.04%,01-Jul-19,National estimate[122],
134, Armenia,2957500,0.04%,30-Sep-19,National quarterly estimate[123],
135, Albania,2845955,0.04%,01-Jan-20,National annual estimate[124],
136, Lithuania,2793471,0.04%,01-Mar-20,Monthly national estimate[125],
137, Qatar,2747282,0.04%,30-Sep-19,Monthly national estimate[126],
138, Jamaica,2726667,0.04%,31-Dec-18,National estimate[127],
139, Moldova,2681735,0.03%,01-Jan-19,National estimate[128],
140, Namibia,2458936,0.03%,01-Jul-19,National projection[129],
141, Gambia,2347706,0.03%,01-Jul-19,UN projection[2],
142, Botswana,2338851,0.03%,01-Jul-19,National annual projection[130],
143, Gabon,2172579,0.03%,01-Jul-19,UN projection[2],
144, Slovenia,2094060,0.03%,01-Oct-19,National estimate[131],
145, North Macedonia,2077132,0.03%,31-Dec-18,National estimate[132],
146, Lesotho,2007201,0.03%,10-Apr-16,2016 census result[133],
147, Latvia,1906800,0.02%,01-Feb-20,Monthly national estimate[134],
?, Kosovo,1795666,0.02%,31-Dec-18,National annual estimate[135],
148, Guinea-Bissau,1604528,0.02%,01-Jul-19,National annual projection[136],
149, Bahrain,1543300,0.02%,01-Jul-19,National annual projection[137],
150, East Timor,1387149,0.02%,01-Jul-19,National annual projection[138],
151, Trinidad and Tobago,1363985,0.02%,30-Jun-19,National estimate[139],
152, Equatorial Guinea,1358276,0.02%,01-Jul-18,National estimate[140],
153, Estonia,1328360,0.02%,01-Jan-20,National estimate[141],
154, Mauritius,1265985,0.02%,01-Jul-19,National estimate[142],
155, Eswatini,1093238,0.01%,11-May-17,National census result[143],
156, Djibouti,1078373,0.01%,01-Jul-19,National annual projection[144],
157, Fiji,884887,0.01%,17-Sep-17,National census result[145],
158, Cyprus[u],875900,0.01%,31-Dec-18,National annual estimate[146],
159, Comoros,873724,0.01%,01-Jul-19,National estimate[147],
160, Guyana,782766,0.01%,01-Jul-19,UN projection[2],
161, Bhutan,741672,0.01%,01-Jul-19,National annual projection[148],
162, Solomon Islands,680806,0.01%,01-Jul-19,National annual projection[149],
?, Macau (China),679600,0.01%,31-Dec-19,National quarterly estimate[150],
163, Montenegro,622359,0.01%,01-Jan-18,National estimate[151],
164, Luxembourg,626108,0.01%,01-Jan-20,National estimate[152],
?, Western Sahara,582463,0.01%,01-Jul-19,UN projection[2],
165, Suriname,581372,0.01%,01-Jul-19,UN projection[2],
166, Cape Verde,550483,0.01%,01-Jul-19,National annual projection[153],
167, Malta,493559,0.01%,31-Dec-18,National estimate[154],
?, Transnistria,469000,0.01%,01-Jan-18,National estimate[155],
168, Brunei,442400,0.01%,01-Jul-18,National estimate[156],
169, Belize,408487,0.01%,01-Jul-19,National estimate[157],
170, Bahamas,385340,0.00%,01-Jul-19,National annual projection[158],
171, Maldives,374775,0.00%,31-Dec-18,National annual estimate[159],
172, Iceland,366130,0.00%,31-Mar-20,National quarterly estimate[160],
?, Northern Cyprus,351965,0.00%,31-Dec-17,National estimate[161],
173, Vanuatu,304500,0.00%,01-Jul-18,National annual estimate[91],
174, Barbados,287025,0.00%,01-Jul-19,UN projection[2],
?, New Caledonia (France),282200,0.00%,01-Jan-18,National annual estimate[162],
?, French Polynesia (France),275918,0.00%,17-Aug-17,2017 census results[163],
?, Abkhazia[y],244832,0.00%,01-Jan-18,National estimate[164],
175, S?o Tom? and Pr?ncipe,201784,0.00%,01-Jul-18,National estimate[165],
176, Samoa,200874,0.00%,01-Jul-19,National projection[166],
177, Saint Lucia,178696,0.00%,01-Jul-18,National annual estimate[167],
?, Guam (US),172400,0.00%,01-Jul-18,National annual estimate[91],
?, Cura?ao (Netherlands),158665,0.00%,01-Jan-19,National annual estimate[168],
?,Flag of Artsakh.svg Artsakh[z],148000,0.00%,01-Jan-19,National annual estimate[169],
178, Kiribati,120100,0.00%,01-Jul-18,National annual estimate[91],
?, Aruba (Netherlands),112309,0.00%,31-Mar-19,National quarterly estimate[170],
179, Grenada,112003,0.00%,01-Jul-19,UN projection[2],
180, Saint Vincent and the Grenadines,110608,0.00%,01-Jul-19,National estimate[171],
?, Jersey (UK),106800,0.00%,31-Dec-18,National estimate[172],
?, U.S. Virgin Islands (US),104578,0.00%,01-Jul-19,UN projection[2],
181, F.S. Micronesia,104468,0.00%,01-Jul-19,National annual projection[173],
182, Tonga,100651,0.00%,30-Nov-16,2016 census result[174],
183, Seychelles,97625,0.00%,30-Jun-19,National estimate[175],
184, Antigua and Barbuda,96453,0.00%,01-Jul-19,National annual projection[176],
?, Isle of Man (UK),83314,0.00%,24-Apr-16,2016 census result[177],
185, Andorra,77543,0.00%,31-Dec-19,National estimate[178],
186, Dominica,71808,0.00%,01-Jul-19,UN projection[2],
?, Cayman Islands (UK),65813,0.00%,31-Dec-18,National estimate[179],
?, Bermuda (UK),64027,0.00%,01-Jul-19,National annual projection[180],
?, Guernsey (UK),62792,0.00%,31-Mar-19,National estimate[181],
?, American Samoa (US),56700,0.00%,01-Jul-18,National annual estimate[91],
?, Greenland (Denmark),56081,0.00%,01-Jan-20,National estimate[182],
?, Northern Mariana Islands (US),56200,0.00%,01-Jul-18,National annual estimate[91],
187, Marshall Islands,55500,0.00%,01-Jul-18,National annual estimate[91],
?, South Ossetia[aa],53532,0.00%,15-Oct-15,Preliminary 2015 census result[183],
188, Saint Kitts and Nevis,52823,0.00%,01-Jul-19,UN projection[2],
?, Faroe Islands (Denmark),52337,0.00%,01-Mar-20,Monthly national estimate[184],
?, Turks and Caicos Islands (UK),41369,0.00%,01-Jul-18,National estimate[185],
?, Sint Maarten (Netherlands),40614,0.00%,01-Jan-18,National estimate[186],
189, Liechtenstein,38749,0.00%,31-Dec-19,National semi annual estimate[187],
190, Monaco,38100,0.00%,31-Dec-19,National annual estimate[188],
?, Saint Martin (France),35746,0.00%,01-Jan-16,National estimate[189],
?, Gibraltar (UK),33691,0.00%,01-Jul-20,UN projection[2],
191, San Marino,33553,0.00%,31-Mar-20,National monthly estimate[190],
?, British Virgin Islands (UK),30030,0.00%,01-Jul-19,UN projection[2],
?, ?land Islands (Finland),29914,0.00%,31-Mar-20,National monthly estimate[191],
192, Palau,17900,0.00%,01-Jul-18,National annual estimate[91],
?, Cook Islands (NZ),15200,0.00%,01-Jul-18,National annual estimate[91],
?, Anguilla (UK),14869,0.00%,01-Jul-19,UN projection[2],
?, Wallis and Futuna (France),11700,0.00%,01-Jul-18,National annual estimate[91],
193, Nauru,11000,0.00%,01-Jul-18,National annual estimate[91],
194, Tuvalu,10200,0.00%,01-Jul-18,National annual estimate[91],
?, Saint Barth?lemy (France),9793,0.00%,01-Jan-16,National estimate[192],
?, Saint Pierre and Miquelon (France),6008,0.00%,01-Jan-16,National estimate[193],
?, Saint Helena Ascension  and Tristan da Cunha (UK),5633,0.00%,07-Feb-16,2016 census result[194],
?, Montserrat (UK),4989,0.00%,01-Jul-19,UN projection[2],
?, Falkland Islands (UK),3198,0.00%,09-Oct-16,2016 census result[195],
?, Christmas Island (Australia),1928,0.00%,30-Jun-18,National estimate[196],
?, Norfolk Island (Australia),1756,0.00%,30-Jun-18,National estimate[196],
?, Niue (NZ),1520,0.00%,01-Jul-18,National annual estimate[91],
?, Tokelau (NZ),1400,0.00%,01-Jul-18,National annual estimate[91],
195, Vatican City[ab],825,0.00%,01-Feb-19,National estimate[197],
?, Cocos (Keeling) Islands (Australia),538,0.00%,30-Jun-18,National estimate[196],
?, Pitcairn Islands (UK),50,0.00%,01-Jan-19,National estimate[198],
